generation;mean_p;mean_t;meanfrs;meanmrs;varp;vart;covpt;varfrs;varmrs;surviving_males;surviving_females;N;
24490;-0.0501326;-0.62808;9.74941;10.1799;0.0430054;0.00522994;3.0915e-05;2.44308;103.892;2317;2490;5000;
24500;-0.060643;-0.625606;10;10.2109;0.0405827;0.00497975;2.67402e-05;0;110.7;2237;2566;5000;
24510;-0.0453355;-0.622273;10;10.2546;0.0421502;0.00499555;0.000106514;0;114.689;2274;2537;5000;
24520;-0.0233174;-0.620319;10;9.7357;0.0432184;0.00495409;0.000622412;0;103.402;2356;2468;5000;
24530;-0.0207;-0.622511;10;10.1974;0.0444235;0.00492153;-0.000152067;0;111.524;2282;2531;5000;
24540;-0.0131206;-0.62192;10;9.77524;0.0425931;0.0050498;0.000357709;0;106.692;2310;2479;5000;
24550;-0.00432402;-0.621213;9.93572;9.84867;0.0448083;0.00502278;0.00035142;0.638696;110.929;2332;2473;5000;
24560;0.0151857;-0.624966;10;9.99202;0.0460821;0.00538768;0.000155647;0;102.116;2313;2503;5000;
24570;0.021602;-0.616637;10;10.2542;0.0496609;0.00608343;0.000269493;0;110.791;2292;2541;5000;
24580;0.0102134;-0.614872;9.8414;10.0161;0.0481606;0.00590641;7.17484e-05;1.56089;111.945;2332;2482;5000;
24590;0.000836963;-0.615108;10;9.83197;0.0443723;0.00577296;0.000561982;0;107.865;2304;2516;5000;
24600;0.00993713;-0.614289;10;9.92927;0.0469958;0.0058308;2.70437e-05;0;112.687;2304;2527;5000;
24610;0.0175473;-0.614411;10;9.82235;0.0453414;0.00502878;0.000405369;0;106.996;2351;2488;5000;
24620;0.0334202;-0.61542;10;9.99601;0.0463614;0.00532589;-8.94249e-05;0;108.027;2316;2503;5000;
24630;0.0230808;-0.610822;10;10.1315;0.0451227;0.00516722;0.000295367;0;110.903;2275;2542;5000;
24640;0.0309973;-0.609718;9.9045;10.008;0.0450846;0.00545664;0.000606282;0.945913;111.781;2329;2489;5000;
24650;0.0263989;-0.607311;10;10.193;0.0422571;0.0057433;0.000282548;0;115.796;2216;2588;5000;
24660;0.0359481;-0.605829;9.86045;9.92376;0.0449103;0.00563082;0.000148143;1.37606;106.134;2353;2473;5000;
24670;0.00719105;-0.602381;10;10.1812;0.0423189;0.00572715;0.000358729;0;120.297;2291;2529;5000;
24680;0.0066599;-0.606951;9.57339;10.0041;0.0401549;0.00572137;0.000108167;4.08414;104.908;2370;2446;5000;
